local;type;surface;nb_piece;prix
2070;1;180;3;2000.0
8000;1;120;2;1200.0
Raoued;1;110;2;900.0
2091;1;164;3;1600.0
4022;1;200;3;1000.0
2070;1;140;3;1600.0
2070;1;145;3;2500.0
2070;1;100;3;2500.0
2070;1;130;3;1500.0
4012;1;90;2;850.0
2070;1;100;2;2500.0
2070;1;120;3;1500.0
2070;1;150;2;1150.0
2070;1;59;1;2500.0
2070;1;167;3;3200.0
1082;1;90;2;400.0
1082;1;90;2;1700.0
4054;1;70;2;850.0
1082;1;60;2;900.0
2070;1;100;2;2600.0
2070;1;185;3;2500.0
2070;1;180;3;4650.0
2070;1;60;1;1700.0
8000;1;60;1;500.0
2070;1;150;4;4000.0
2070;1;120;2;3000.0
4022;1;200;3;1300.0
2091;1;380;5;5500.0
2070;1;120;2;2500.0
2070;1;75;1;2200.0
8050;1;130;2;1200.0
2070;1;70;1;1100.0
4051;1;190;4;900.0
2070;1;300;3;2500.0
8050;1;120;3;1500.0
2070;1;300;3;5700.0
2016;1;180;3;2500.0
2070;1;180;3;2500.0
2070;1;140;4;1700.0
2070;1;120;2;2000.0
4012;1;96;3;1300.0
2070;1;140;3;1500.0
2070;1;150;2;4500.0
2070;1;200;3;2800.0
2070;1;80;2;1500.0
1082;1;150;3;1600.0
2070;1;250;3;2000.0
2091;1;240;3;3400.0
2070;1;80;1;1600.0
2070;1;70;1;1600.0
2070;1;60;1;845.0
2070;1;150;3;1300.0
8050;1;88;1;1100.0
2070;1;180;3;3500.0
8050;1;120;2;1500.0
2070;1;120;3;2000.0
2070;1;60;1;1300.0
2070;1;80;2;600.0
2070;1;110;2;2000.0
2097;1;65;1;650.0
2036;1;68;1;1500.0
4004;1;100;2;1200.0
4004;1;60;1;600.0
8050;1;80;2;851.0
2070;1;70;1;1600.0
1082;1;160;3;2500.0
4051;1;100;3;750.0
2060;1;130;3;3000.0
8013;1;170;2;700.0
2070;1;150;3;1600.0
2070;1;160;3;2300.0
2015;1;180;3;3000.0
1082;1;75;1;1000.0
2091;1;112;2;1500.0
2070;1;230;4;2200.0
4004;1;100;2;1300.0
4004;1;100;2;900.0
2036;1;140;3;1450.0
8050;1;70;1;500.0
8050;1;120;3;2901.0
2070;1;250;3;8200.0
1082;1;60;1;850.0
2015;1;150;2;2600.0
2070;1;110;2;1200.0
2040;1;100;3;600.0
2070;1;120;2;3500.0
2015;1;180;4;3000.0
8050;1;90;1;1700.0
2070;1;90;1;1600.0
2015;1;224;3;2700.0
4004;1;90;1;700.0
4022;1;150;2;1000.0
2070;1;100;2;2800.0
2015;1;180;3;1800.0
2070;1;140;3;1200.0
2070;1;180;3;1700.0
2070;1;120;2;1400.0
1000;1;70;2;900.0
8050;1;100;2;2000.0
8050;1;80;1;1100.0
1082;1;87;3;700.0
